Graph,Folder,V,E
59,traincsv,8,28
66,traincsv,8,28
472,traincsv,10,45
1492,traincsv,24,96
948,traincsv,10,25
329,traincsv,10,29
1355,traincsv,7,21
328,traincsv,23,59
427,traincsv,8,28
1433,traincsv,11,55
754,traincsv,9,21
1065,traincsv,8,28
201,traincsv,10,25
703,traincsv,18,57
844,traincsv,11,22
1473,traincsv,16,49
369,traincsv,12,36
697,traincsv,7,21
271,traincsv,30,123
69,traincsv,28,88
681,traincsv,32,302
669,traincsv,11,55
761,traincsv,8,16
998,traincsv,7,21
466,traincsv,8,28
1059,traincsv,17,76
833,traincsv,11,37
1200,traincsv,7,21
813,traincsv,7,21
464,traincsv,19,67
715,traincsv,10,25
931,traincsv,7,21
899,traincsv,15,105
1450,traincsv,8,28
212,traincsv,13,31
510,traincsv,7,21
801,traincsv,11,34
972,traincsv,9,36
417,traincsv,14,91
1095,traincsv,8,28
638,traincsv,9,21
903,traincsv,10,27
529,traincsv,14,35
1217,traincsv,10,45
1441,traincsv,7,21
693,traincsv,23,188
537,traincsv,32,302
1495,traincsv,11,30
516,traincsv,7,21
950,traincsv,14,59
483,traincsv,7,21
857,traincsv,7,21
545,traincsv,7,21
762,traincsv,17,52
263,traincsv,9,36
134,traincsv,7,12
883,traincsv,9,24
956,traincsv,22,163
84,traincsv,23,110
1384,traincsv,8,28
728,traincsv,23,66
19,traincsv,8,28
968,traincsv,7,21
1432,traincsv,7,21
167,traincsv,8,28
836,traincsv,8,28
667,traincsv,7,21
112,traincsv,34,97
1359,traincsv,14,47
890,traincsv,10,25
177,traincsv,7,21
407,traincsv,8,28
481,traincsv,10,25
1129,traincsv,10,37
1301,traincsv,8,28
1160,traincsv,8,28
1118,traincsv,7,21
22,traincsv,9,36
487,traincsv,7,21
1270,traincsv,43,171
181,traincsv,17,62
806,traincsv,30,435
1167,traincsv,13,53
1195,traincsv,10,45
1429,traincsv,8,28
965,traincsv,12,36
1380,traincsv,8,28
1054,traincsv,7,21
492,traincsv,9,36
1396,traincsv,10,25
1448,traincsv,9,21
610,traincsv,20,58
1392,traincsv,12,66
1101,traincsv,14,51
1399,traincsv,7,21
375,traincsv,17,43
589,traincsv,14,40
1461,traincsv,11,55
178,traincsv,17,41
1121,traincsv,14,91
1115,traincsv,9,36
183,traincsv,7,21
538,traincsv,7,21
1273,traincsv,7,21
99,traincsv,10,45
1422,traincsv,13,32
286,traincsv,18,59
1360,traincsv,10,37
1456,traincsv,25,112
214,traincsv,12,66
283,traincsv,10,25
744,traincsv,18,153
188,traincsv,9,36
225,traincsv,18,76
997,traincsv,7,21
909,traincsv,10,18
74,traincsv,12,66
772,traincsv,9,36
1207,traincsv,15,44
736,traincsv,8,28
555,traincsv,13,45
531,traincsv,11,30
1250,traincsv,11,55
1304,traincsv,10,45
244,traincsv,9,36
371,traincsv,16,47
71,traincsv,8,28
1146,traincsv,19,171
573,traincsv,7,21
323,traincsv,10,25
468,traincsv,20,110
157,traincsv,14,50
1451,traincsv,7,21
665,traincsv,7,21
200,traincsv,12,27
778,traincsv,14,52
451,traincsv,7,21
265,traincsv,7,21
179,traincsv,16,74
913,traincsv,8,28
701,traincsv,10,25
97,traincsv,15,50
1102,traincsv,13,42
109,traincsv,17,76
1331,traincsv,17,58
536,traincsv,8,28
723,traincsv,22,73
469,traincsv,27,182
1469,traincsv,11,55
500,traincsv,8,16
1088,traincsv,9,36
557,traincsv,11,31
873,traincsv,8,28
1232,traincsv,14,55
1287,traincsv,9,36
1039,traincsv,20,86
82,traincsv,10,29
129,traincsv,11,34
810,traincsv,11,30
1254,traincsv,9,21
876,traincsv,9,36
342,traincsv,20,190
15,traincsv,16,47
966,traincsv,10,25
827,traincsv,51,858
429,traincsv,18,120
311,traincsv,9,17
486,traincsv,14,51
666,traincsv,89,1467
1408,traincsv,7,21
88,traincsv,7,21
733,traincsv,7,21
242,traincsv,7,21
521,traincsv,7,21
1210,traincsv,11,31
652,traincsv,11,30
1144,traincsv,18,85
419,traincsv,7,21
862,traincsv,27,73
135,traincsv,10,36
1494,traincsv,11,55
1153,traincsv,7,21
749,traincsv,12,36
424,traincsv,10,45
757,traincsv,10,45
854,traincsv,10,45
24,traincsv,7,21
478,traincsv,10,29
218,traincsv,9,36
1425,traincsv,9,36
685,traincsv,43,593
996,traincsv,10,25
513,traincsv,9,36
923,traincsv,9,20
853,traincsv,7,21
904,traincsv,17,51
1338,traincsv,7,21
1426,traincsv,30,112
915,traincsv,11,30
5,traincsv,8,16
881,traincsv,7,21
493,traincsv,24,68
49,traincsv,7,21
1240,traincsv,13,54
986,traincsv,7,21
196,traincsv,21,90
394,traincsv,12,66
1171,traincsv,14,50
34,traincsv,8,28
1123,traincsv,19,171
856,traincsv,10,45
613,traincsv,27,87
27,traincsv,38,703
447,traincsv,7,21
248,traincsv,8,28
1474,traincsv,9,36
745,traincsv,17,136
249,traincsv,9,20
490,traincsv,10,45
115,traincsv,15,40
0,traincsv,7,21
1108,traincsv,18,71
443,traincsv,11,41
1352,traincsv,11,55
356,traincsv,41,173
1112,traincsv,11,28
661,traincsv,22,71
325,traincsv,8,16
1248,traincsv,18,153
1131,traincsv,20,190
1060,traincsv,9,36
1233,traincsv,7,21
1098,traincsv,13,48
1162,traincsv,8,28
431,traincsv,12,66
1259,traincsv,7,21
126,traincsv,10,36
276,traincsv,7,21
81,traincsv,19,94
58,traincsv,7,21
16,traincsv,14,49
1180,traincsv,18,70
30,traincsv,9,36
902,traincsv,10,25
1452,traincsv,13,64
1427,traincsv,27,101
643,traincsv,16,47
845,traincsv,11,31
1267,traincsv,9,36
625,traincsv,7,21
162,traincsv,29,117
62,traincsv,15,42
299,traincsv,10,25
104,traincsv,7,17
1211,traincsv,9,36
1382,traincsv,9,36
1117,traincsv,7,21
554,traincsv,15,58
1418,traincsv,14,91
1439,traincsv,33,221
368,traincsv,24,168
958,traincsv,23,62
1050,traincsv,7,21
1389,traincsv,15,69
1479,traincsv,7,21
107,traincsv,12,36
1220,traincsv,7,21
660,traincsv,16,40
803,traincsv,7,21
691,traincsv,7,21
418,traincsv,12,41
1174,traincsv,9,36
54,traincsv,16,64
867,traincsv,8,28
662,traincsv,15,60
976,traincsv,11,30
506,traincsv,18,66
635,traincsv,32,496
720,traincsv,7,21
1017,traincsv,20,190
989,traincsv,7,21
858,traincsv,26,84
924,traincsv,32,496
1351,traincsv,11,55
512,traincsv,9,21
220,traincsv,10,29
154,traincsv,11,30
700,traincsv,7,21
1341,traincsv,7,21
1178,traincsv,27,213
1483,traincsv,11,55
1191,traincsv,9,36
168,traincsv,14,52
351,traincsv,11,30
1455,traincsv,9,36
600,traincsv,9,36
79,traincsv,9,36
373,traincsv,7,21
734,traincsv,7,21
892,traincsv,7,21
140,traincsv,9,20
1074,traincsv,23,134
458,traincsv,8,28
1142,traincsv,10,27
1344,traincsv,16,64
1076,traincsv,8,28
994,traincsv,32,496
1094,traincsv,14,91
1175,traincsv,10,45
319,traincsv,8,16
798,traincsv,7,21
40,traincsv,17,41
544,traincsv,12,36
146,traincsv,8,28
743,traincsv,30,435
842,traincsv,15,56
1041,traincsv,9,36
1393,traincsv,7,21
57,traincsv,11,22
571,traincsv,16,48
582,traincsv,10,27
553,traincsv,8,28
1083,traincsv,17,69
590,traincsv,8,28
349,traincsv,10,45
32,traincsv,7,12
1231,traincsv,8,28
1093,traincsv,9,36
403,traincsv,8,28
729,traincsv,11,31
602,traincsv,11,30
316,traincsv,14,91
783,traincsv,14,35
1228,traincsv,7,21
339,traincsv,18,58
1320,traincsv,7,21
465,traincsv,13,46
797,traincsv,10,25
1347,traincsv,7,21
698,traincsv,7,21
1365,traincsv,8,28
1005,traincsv,11,55
771,traincsv,11,34
671,traincsv,21,54
386,traincsv,12,60
1421,traincsv,8,28
587,traincsv,18,48
189,traincsv,22,231
392,traincsv,7,21
1196,traincsv,7,21
829,traincsv,18,153
884,traincsv,12,66
605,traincsv,8,18
541,traincsv,7,21
108,traincsv,13,46
800,traincsv,12,30
551,traincsv,7,21
1222,traincsv,10,45
1323,traincsv,10,45
236,traincsv,18,65
607,traincsv,10,25
562,traincsv,9,36
708,traincsv,11,31
1066,traincsv,21,79
51,traincsv,17,83
125,traincsv,12,66
905,traincsv,43,539
1148,traincsv,29,98
1409,traincsv,9,36
122,traincsv,9,20
549,traincsv,8,28
147,traincsv,9,36
648,traincsv,7,21
280,traincsv,7,21
312,traincsv,8,28
597,traincsv,7,17
1280,traincsv,14,56
1111,traincsv,17,136
722,traincsv,16,46
1480,traincsv,12,31
21,traincsv,24,109
416,traincsv,17,53
496,traincsv,14,91
93,traincsv,7,21
399,traincsv,11,22
412,traincsv,7,21
308,traincsv,8,28
1019,traincsv,8,28
348,traincsv,16,49
1299,traincsv,9,21
794,traincsv,7,21
61,traincsv,17,73
41,traincsv,12,36
614,traincsv,8,28
1141,traincsv,15,97
1046,traincsv,13,54
585,traincsv,7,21
73,traincsv,10,45
26,traincsv,38,703
160,traincsv,8,28
712,traincsv,7,21
559,traincsv,7,12
699,traincsv,17,136
139,traincsv,11,48
1198,traincsv,8,28
1349,traincsv,19,121
609,traincsv,23,56
748,traincsv,29,146
1081,traincsv,7,21
627,traincsv,11,30
1037,traincsv,43,365
975,traincsv,13,43
1229,traincsv,13,30
268,traincsv,36,228
860,traincsv,18,153
151,traincsv,8,28
955,traincsv,7,21
619,traincsv,9,18
664,traincsv,26,98
1294,traincsv,17,136
123,traincsv,10,45
808,traincsv,9,36
507,traincsv,8,28
518,traincsv,9,36
383,traincsv,7,21
175,traincsv,8,28
365,traincsv,7,21
136,traincsv,13,43
7,traincsv,8,16
679,traincsv,31,465
792,traincsv,8,28
1025,traincsv,9,36
1105,traincsv,11,55
528,traincsv,7,21
999,traincsv,8,28
981,traincsv,12,38
1372,traincsv,36,390
291,traincsv,8,28
1446,traincsv,11,55
269,traincsv,29,82
971,traincsv,32,496
1255,traincsv,8,28
779,traincsv,8,28
390,traincsv,13,40
932,traincsv,18,46
1134,traincsv,8,28
454,traincsv,7,13
243,traincsv,22,79
606,traincsv,9,24
581,traincsv,7,21
897,traincsv,7,21
227,traincsv,17,61
651,traincsv,19,70
1010,traincsv,7,20
820,traincsv,14,41
838,traincsv,11,35
110,traincsv,14,28
144,traincsv,15,57
281,traincsv,20,190
376,traincsv,9,24
1444,traincsv,13,42
489,traincsv,7,21
335,traincsv,7,21
246,traincsv,7,21
1031,traincsv,7,21
946,traincsv,51,858
934,traincsv,9,36
1033,traincsv,10,45
688,traincsv,7,21
900,traincsv,30,435
563,traincsv,18,153
1016,traincsv,8,28
817,traincsv,8,28
422,traincsv,8,16
1366,traincsv,14,35
141,traincsv,9,36
1216,traincsv,8,28
1285,traincsv,9,36
1279,traincsv,7,21
1246,traincsv,20,190
318,traincsv,10,45
314,traincsv,7,21
304,traincsv,7,21
639,traincsv,24,74
834,traincsv,10,45
461,traincsv,8,28
519,traincsv,7,21
830,traincsv,8,16
1386,traincsv,8,28
1438,traincsv,11,55
1401,traincsv,10,45
1322,traincsv,8,28
1119,traincsv,7,21
847,traincsv,7,21
293,traincsv,11,31
1467,traincsv,8,28
546,traincsv,8,16
921,traincsv,11,31
1442,traincsv,8,28
1271,traincsv,7,21
846,traincsv,8,28
240,traincsv,20,132
1091,traincsv,9,36
1487,traincsv,13,54
232,traincsv,27,157
623,traincsv,11,22
1013,traincsv,17,136
543,traincsv,7,21
1156,traincsv,11,55
385,traincsv,13,48
527,traincsv,32,496
91,traincsv,25,102
1127,traincsv,7,21
301,traincsv,9,21
644,traincsv,8,28
245,traincsv,7,21
795,traincsv,7,21
927,traincsv,7,21
1047,traincsv,7,21
1155,traincsv,7,21
943,traincsv,18,153
822,traincsv,7,21
28,traincsv,15,105
957,traincsv,12,36
1316,traincsv,13,48
1223,traincsv,9,36
1458,traincsv,12,66
1428,traincsv,9,21
310,traincsv,10,25
1230,traincsv,28,121
1437,traincsv,7,21
809,traincsv,7,21
332,traincsv,38,89
1218,traincsv,16,76
260,traincsv,18,39
577,traincsv,32,496
1132,traincsv,7,21
337,traincsv,11,34
1136,traincsv,9,36
372,traincsv,10,25
1183,traincsv,50,272
1327,traincsv,18,72
241,traincsv,48,310
275,traincsv,10,45
1163,traincsv,7,21
673,traincsv,18,58
802,traincsv,14,51
296,traincsv,7,21
44,traincsv,9,36
1493,traincsv,7,21
1192,traincsv,9,36
361,traincsv,14,91
1288,traincsv,15,58
358,traincsv,18,64
414,traincsv,22,79
252,traincsv,7,21
423,traincsv,8,28
165,traincsv,19,66
1464,traincsv,22,127
1302,traincsv,10,45
192,traincsv,37,104
1143,traincsv,9,36
870,traincsv,9,21
295,traincsv,13,31
1028,traincsv,8,28
1234,traincsv,11,55
532,traincsv,7,21
604,traincsv,10,25
620,traincsv,8,28
52,traincsv,8,28
475,traincsv,7,21
632,traincsv,7,21
591,traincsv,7,12
677,traincsv,8,28
624,traincsv,9,36
315,traincsv,20,190
831,traincsv,8,28
48,traincsv,22,125
420,traincsv,12,37
209,traincsv,8,16
1087,traincsv,9,36
313,traincsv,11,31
39,traincsv,7,21
1434,traincsv,9,36
170,traincsv,50,160
676,traincsv,7,21
1224,traincsv,78,745
370,traincsv,18,49
10,traincsv,8,28
1068,traincsv,17,136
1140,traincsv,8,28
764,traincsv,9,36
488,traincsv,13,42
190,traincsv,11,34
1075,traincsv,12,36
1,traincsv,13,42
790,traincsv,11,30
105,traincsv,8,28
253,traincsv,8,28
1002,traincsv,20,69
832,traincsv,7,21
317,traincsv,27,163
235,traincsv,12,38
96,traincsv,10,45
185,traincsv,8,28
1398,traincsv,8,28
964,traincsv,7,21
428,traincsv,10,45
331,traincsv,12,30
674,traincsv,7,21
300,traincsv,8,28
1326,traincsv,9,36
962,traincsv,10,30
721,traincsv,17,51
1453,traincsv,14,91
76,traincsv,22,127
1496,traincsv,11,55
1214,traincsv,9,36
1169,traincsv,14,56
148,traincsv,8,19
6,traincsv,7,21
1203,traincsv,12,38
511,traincsv,10,45
683,traincsv,16,46
1350,traincsv,18,153
305,traincsv,7,21
119,traincsv,27,210
195,traincsv,10,45
1309,traincsv,18,59
861,traincsv,14,31
1313,traincsv,63,594
90,traincsv,13,78
539,traincsv,7,21
1030,traincsv,7,21
1084,traincsv,8,28
277,traincsv,12,46
522,traincsv,7,21
1329,traincsv,11,34
1412,traincsv,10,45
978,traincsv,10,45
101,traincsv,13,42
485,traincsv,18,45
233,traincsv,7,21
880,traincsv,18,153
1265,traincsv,7,21
1297,traincsv,13,63
274,traincsv,24,68
705,traincsv,11,30
343,traincsv,12,66
583,traincsv,10,25
421,traincsv,8,28
742,traincsv,36,100
850,traincsv,9,20
993,traincsv,11,30
470,traincsv,45,731
208,traincsv,9,36
1052,traincsv,7,19
746,traincsv,18,58
1497,traincsv,21,77
1226,traincsv,7,21
657,traincsv,7,21
87,traincsv,10,25
1278,traincsv,17,51
912,traincsv,10,25
89,traincsv,13,54
1130,traincsv,9,36
1204,traincsv,7,21
547,traincsv,14,35
891,traincsv,7,21
176,traincsv,7,21
459,traincsv,7,21
366,traincsv,7,21
837,traincsv,15,40
760,traincsv,11,31
579,traincsv,16,48
567,traincsv,11,30
491,traincsv,8,16
789,traincsv,12,42
524,traincsv,11,34
231,traincsv,10,45
520,traincsv,7,21
462,traincsv,7,21
1012,traincsv,11,55
1476,traincsv,7,15
327,traincsv,15,41
1449,traincsv,7,21
251,traincsv,10,45
282,traincsv,20,190
289,traincsv,12,36
1137,traincsv,13,48
1468,traincsv,11,31
937,traincsv,17,136
1063,traincsv,9,36
816,traincsv,7,21
1079,traincsv,16,75
55,traincsv,26,90
1430,traincsv,16,76
983,traincsv,7,21
1357,traincsv,19,87
738,traincsv,18,59
717,traincsv,20,100
258,traincsv,19,70
1282,traincsv,13,46
1182,traincsv,7,12
919,traincsv,8,28
936,traincsv,8,28
1443,traincsv,9,36
1018,traincsv,8,28
758,traincsv,11,32
1289,traincsv,9,36
217,traincsv,9,36
1212,traincsv,8,28
1272,traincsv,17,136
776,traincsv,8,28
334,traincsv,14,55
1239,traincsv,8,28
1346,traincsv,36,390
1356,traincsv,9,36
887,traincsv,59,902
75,traincsv,38,204
1332,traincsv,14,91
120,traincsv,10,45
1126,traincsv,9,36
1237,traincsv,16,76
1378,traincsv,7,21
1067,traincsv,9,36
1298,traincsv,7,21
1385,traincsv,7,21
949,traincsv,7,21
1038,traincsv,54,545
922,traincsv,7,21
653,traincsv,8,16
726,traincsv,9,21
711,traincsv,10,25
18,traincsv,9,24
1251,traincsv,11,44
1431,traincsv,7,21
990,traincsv,34,112
593,traincsv,7,21
542,traincsv,14,36
347,traincsv,7,21
727,traincsv,13,42
961,traincsv,15,53
630,traincsv,20,59
907,traincsv,7,21
17,traincsv,7,21
250,traincsv,10,45
1053,traincsv,9,36
716,traincsv,46,510
194,traincsv,14,44
1478,traincsv,13,66
1187,traincsv,7,21
569,traincsv,7,21
330,traincsv,29,140
1007,traincsv,12,66
680,traincsv,15,105
1114,traincsv,9,36
1166,traincsv,20,190
13,traincsv,22,57
770,traincsv,11,31
309,traincsv,7,21
784,traincsv,7,12
1281,traincsv,23,178
1213,traincsv,8,28
1367,traincsv,14,91
969,traincsv,7,21
1415,traincsv,8,28
564,traincsv,7,21
914,traincsv,7,21
1486,traincsv,12,66
621,traincsv,7,21
963,traincsv,18,153
425,traincsv,9,36
1006,traincsv,14,61
706,traincsv,11,30
158,traincsv,25,77
379,traincsv,8,28
504,traincsv,7,21
223,traincsv,13,50
713,traincsv,7,21
211,traincsv,10,45
143,traincsv,8,19
204,traincsv,9,36
56,traincsv,11,31
1057,traincsv,10,39
1252,traincsv,9,36
206,traincsv,9,21
92,traincsv,8,27
1462,traincsv,8,28
1242,traincsv,10,45
1172,traincsv,7,21
1009,traincsv,8,28
1023,traincsv,7,21
322,traincsv,15,45
430,traincsv,9,36
678,traincsv,12,42
1138,traincsv,16,52
954,traincsv,14,51
885,traincsv,13,42
1235,traincsv,14,91
457,traincsv,7,21
1369,traincsv,11,55
31,traincsv,9,36
114,traincsv,8,28
267,traincsv,8,28
396,traincsv,9,21
23,traincsv,14,35
872,traincsv,8,28
202,traincsv,7,21
807,traincsv,7,21
184,traincsv,7,13
298,traincsv,33,245
398,traincsv,14,36
942,traincsv,19,76
804,traincsv,7,21
1176,traincsv,11,30
1339,traincsv,7,21
1058,traincsv,8,28
234,traincsv,7,21
395,traincsv,7,21
279,traincsv,18,99
484,traincsv,12,38
